CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U52603TG2020OPC142316,CHARVI ADARSH VASAMSHETI FASHIONS (OPC) PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,One Person Company,100000,100000,30-07-2020,"PN 04, SY NO. 189 , 190 AND 191   Pragathi Enclave, Miyapur,Miyapur,Hyderabad,Telangana,500049-India",Unlisted,Strike Off,telangana,Indian,52603,Trading
U74101TS2023PTC175541,HOOR CLOTHING & FASHION DESIGNER PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,100000,28-07-2023,"3-6-167, F NO.305,PRESIDE,NCY HABITAT,HYDER GUDA,,Himayathnagar,Hyderabad,Telangana,500029-India",Unlisted,Active,telangana,Indian,74101,"Community, personal and Social Services"
U74102TS2023PTC174367,HAYDEN DESIGN STUDIO PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,26-06-2023,"Flat no.301, Plot No.63,Road No.5, Khanamet,Shaikpet,Hyderabad,Telangana,500081-India",Unlisted,Active,telangana,Indian,74102,"Community, personal and Social Services"
U74103TS2024OPC187523,WASTED GENIUS (OPC) PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,One Person Company,10000,10000,15-07-2024,"P No 30,CBR Krishnaveni Est,Tirumalagiri,Hyderabad,Telangana,500087-India",Unlisted,Active,telangana,Indian,74103,"Community, personal and Social Services"
U74110TG2020PTC140739,BLACKBIRD CONSULTING PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,10-06-2020,"8-2-699/1 SY NO 346 K R TOWERS ROAD NO 12   BANJARA HILLS,HYDERABAD,Hyderabad,Telangana,500034-India",Unlisted,Active,telangana,Indian,74110,Business Services
U27104TS2024PTC187032,RVMC POWER SOLUTIONS PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,10000,28-06-2024,"FLAT. NO.507, D-BLK. NCL,SINDHU, PET BASHEERABAD,,Rangareddy,Rangareddy,Telangana,500067-India",Unlisted,Active,telangana,Indian,27104,Manufacturing (Machinery and Equipments)
U28170TS2023PTC175377,ADVAYA-TEC MANUFACTURING INDUSTRIES PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1500000,100000,25-07-2023,"P NO. 125, PHASE-II,GANDHI NAGAR,Rangareddy,Hyderabad,Telangana,500037-India",Unlisted,Active,telangana,Indian,28170,Manufacturing (Machinery and Equipments)
U47912TS2023PTC174925,EARTHY WORTHY PRODUCTS PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,100000,12-07-2023,"Plot 8, Flat no 101,Srinilayam,Rangareddy,Rangareddy,Telangana,500089-India",Unlisted,Active,telangana,Indian,47912,Trading
U52399TG2020PTC142882,ZUIVEREN IMPEXCELLENCE PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,100000,17-08-2020,"4-9-108/7,Plot No LIG 119/A,Road No.24/A   Mushkmahal HUDA Colony, Attapur,HYDERABAD,Hyderabad,Telangana,500048-India",Unlisted,Active,telangana,Indian,52399,Trading
U52399TG2022PTC164592,ZYP PHARMACY PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,100000,100000,08-07-2022,"8-2-293/82/235/A/403,ROAD NO.36,Shaikpet,Hyderabad,Telangana,500033-India",Unlisted,Active,telangana,Indian,52399,Trading
