CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U24290KA2022PTC163223,ICCHHA LIFESTYLES PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,1000000,30-06-2022,"No.86,Virupakshapura,(7th Cross)   Kodigehalli,V R Pura,Yelahanka,Bengaluru,Bangalore,Karnataka,560097-India",Unlisted,Active,karnataka,Indian,24290,"Manufacturing (Metals and Chemicals, and products thereof)"
U24297KA2020PTC135484,AIGRO FOODSTUFF PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,02-07-2020,"PLOT NO. SPL Q1, KSSIDC   AUTO NAGAR,BELAGAVI,Belgaum,Karnataka,590015-India",Unlisted,Active,karnataka,Indian,24297,"Manufacturing (Metals and Chemicals, and products thereof)"
U46201KA2023PTC174808,REDEFINE GLOBAL EXPORTS AND IMPORTS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,14-06-2023,"No787, 2ndFloor,2nd Stage,5th Cross Rd, HBR Layout,Bangalore North,Bangalore,Karnataka,560043-India",Unlisted,Active,karnataka,Indian,46201,Trading
U46209KA2023PTC176066,VAACHASPATI BAILHONGAL PRODUCER COMPANY LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1500000,10000,17-07-2023,"C/o.Kulkarni FarmFresh PL,M.N.Savalgimath Bailhonga,Bailhongal,Belgaum,Karnataka,591125-India",Unlisted,Active,karnataka,Indian,46209,Trading
U46301KA2024PTC189503,ERIS INTERNATIONAL GENERAL TRADING AND CONTRACTING PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,07-06-2024,"No 1372/C, 4th Floor, 32nd E Cross Raad,,4th T Block East, Jayanagar,,Bangalore South,Bangalore,Karnataka,560041-India",Unlisted,Active,karnataka,Indian,46301,Trading
U46304KA2023PTC175982,ADIPRIYA VENTURES PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,14-07-2023,"No-758, 10th Main Road,,OPPSITE PEACE PARK,Bangalore South,Bangalore,Karnataka,560076-India",Unlisted,Active,karnataka,Indian,46304,Trading
U46306KA2024PTC192527,DO PATTEA PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,600000,600000,29-08-2024,"OFFICERS' MESS, GATE NO.2,NEELSANDRA ROAD,Bangalore North,Bangalore,Karnataka,560025-India",Unlisted,Active,karnataka,Indian,46306,Trading
U46411KA2023PTC177305,DESAI CLOTHING EXPORTS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,1000000,14-08-2023,"18\80\2A\1A RACHENHALLI, SRK NAGAR POST,Bangalore North,Bangalore,Karnataka,560077-India",Unlisted,Active,karnataka,Indian,46411,Trading
U46497KA2023PTC177243,DHANVANTHRI SUPER SPECIALITY PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000,100000,11-08-2023,"No. 32, Park Area,,Wilson Garden,,Bangalore South,Bangalore,Karnataka,560027-India",Unlisted,Active,karnataka,Indian,46497,Trading
U46497KA2024OPC190532,BIONAIN PHARMA (OPC) PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,One Person Company,100000,10000,03-07-2024,"UNIT 101 OXFORD TOWERS,139 HAL OLD AIRPORT RD,Bangalore North,Bangalore,Karnataka,560008-India",Unlisted,Active,karnataka,Indian,46497,Trading
U72500KA2022PTC164102,NGAGINE INTEGRATED SOLUTIONS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000,100000,21-07-2022,"No. 806, Block 1, Confident Leo   Carmelaram, Sarjapur Main Road,Bangalore,Bangalore,Karnataka,560035-India",Unlisted,Strike Off,karnataka,Indian,72500,Business Services
U86900KA2024PTC191621,BELAVANGALA HEALTH & WELLNESS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,02-08-2024,"No.4-14A, 4th Floor, Grand Majestic,,2nd cross, 6th Main Road, Gandhinagar,,Bangalore North,Bangalore,Karnataka,560009-India",Unlisted,Active,karnataka,Indian,86900,"Community, personal and Social Services"
U88900KA2023NPL175062,OPTA PEOPLES FOUNDATION,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,20-06-2023,"No. 19/1, Nagappa Street,Palace Guttahalli,Bangalore North,Bangalore,Karnataka,560003-India",Unlisted,Active,karnataka,Indian,88900,"Community, personal and Social Services"
U92490KA2021PTC149765,UNIFI IMAGINATIVE PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1500000,200000,21-07-2021,"No 235, 11th MAIN AGS LAYOUT AREHALLI,   UTTARAHALLI,BENGALURU,Bangalore,Karnataka,560061-India",Unlisted,Active,karnataka,Indian,92490,"Community, personal and Social Services"
U92490KA2022PTC162278,ANVIT CINEMAS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000,100000,10-06-2022,"No. 555, Axis Padegal, 9th Cross,,Bangalore South,Bangalore,Karnataka,560078-India",Unlisted,Active,karnataka,Indian,92490,"Community, personal and Social Services"
U92300KA2022PTC163825,5OLVE DOT PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,105000,14-07-2022,"No. 19, 9th Cross   Vinayaka Nagar,Bengaluru,Bangalore,Karnataka,560017-India",Unlisted,Active,karnataka,Indian,92300,"Community, personal and Social Services"
U52100KA2022PTC162562,MIRRORLOOPS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000,100000,17-06-2022,"Level 11, Prestige Khoday Tower   5 Raj Bhawan Road,Bangalore,Bangalore,Karnataka,560001-India",Unlisted,Active,karnataka,Indian,52100,Trading
U52100KA2022PTC164333,GREETZEAST GRENAS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,50000,27-07-2022,"NO 7 1ST CROSS,   NEAR CORPORATION BANK KAMMANAHALLI,,BANGALORE,Bangalore,Karnataka,560033-India",Unlisted,Active,karnataka,Indian,52100,Trading
